"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"24","Anime","Capcom Sound Team","SONIC OSTREAGUE STAGE","1VDpjEcXqSxe8QIbNlUplc",12,4.47e-05,0.331,91147,0.992,0.642,"A#",0.199,-8.921,"Minor",0.073,172.388,"4/4",0.47
"25","Soundtrack","Bill Conti","All Of My Life","0H40tI67NJXcc4I96bjAHw",28,0.974,0.449,147907,0.00565,0.891,"C",0.113,-28.622,"Major",0.0399,75.231,"4/4",0.181
"26","Reggaeton","Pusho","I'm Back - Freestyle","3jhuhqtYgucMHEGIwtWTb4",38,0.126,0.618,159080,0.881,4.2e-06,"F#",0.665,-4.862,"Minor",0.485,166.214,"4/4",0.652
"27","Classical","Pyotr Ilyich Tchaikovsky","The Nutcracker - Ballet, Op.71, Act I: No. 1 - The Decoration of the Christmas Tree","7hVsNjrvtfXZlzxW5vxsAi",40,0.918,0.252,227413,0.105,0.932,"D",0.104,-26.17,"Major",0.0458,114.817,"4/4",0.0862
"28","Folk","Vance Joy","All I Ever Wanted","62nFeTispaiYq1KzGrONsl",49,0.0312,0.518,216880,0.624,0.000171,"C",0.131,-6.134,"Major",0.0256,87.565,"4/4",0.241
"29","Rap","Drake","Sooner Than Later","43iKgGbmfqPLh3mxUlospI",66,0.178,0.616,262047,0.501,1.2e-05,"F",0.105,-5.722,"Minor",0.24,94.554,"4/4",0.506
"30","Comedy","Kathleen Madigan","Hookers","1lYEml2bNbdhd9mbniRegF",19,0.666,0.481,71467,0.587,0,"G",0.741,-14.09,"Minor",0.932,68.948,"3/4",0.694
"31","Reggae","The Maytals","Gold and Silver","6qDLGV4JSQ2vwjdBNjxoHX",34,0.0167,0.793,156760,0.626,0.000704,"C#",0.0698,-7.968,"Major",0.0387,125.9,"4/4",0.64
"32","Soul","Colouring","Time","14xsktKlSTEEcXZ41x2MRf",49,0.389,0.594,204400,0.633,0.000396,"F",0.107,-7.342,"Major",0.0625,106.016,"4/4",0.531
"33","Pop","Spice Girls","Stop","3FteycP8CaXS1MhjcXekVT",70,0.287,0.722,204754,0.845,0,"D",0.0561,-4.446,"Minor",0.0308,130.13,"4/4",0.965
"34","Comedy","Christopher Titus","It Doesn't Work","76kqj5JJs4myW7HZSwK7l0",24,0.928,0.548,154053,0.588,0,"A#",0.926,-13.998,"Minor",0.952,81.667,"5/4",0.404
"35","Children’s Music","Red Hot Chili Peppers","The Longest Wave","0pjCkLjbgSLn5c0Ilwuv8z",64,0.319,0.476,211520,0.511,0.000129,"G#",0.119,-6.25,"Major",0.0324,148.158,"4/4",0.339
"36","Rock","Jason Michael Carroll","Where I'm From","0VeI4Zyirc6yuJ4P7fudjE",64,0.0301,0.532,276480,0.815,0,"G#",0.0721,-5.834,"Major",0.0392,149.728,"4/4",0.546
"37","Classical","Antonio Vivaldi","Flute Concerto in G Minor, Op. 10 No. 2, RV 439 ""La notte"": II. Fantasmi. Presto - Largo","5DOvTcqVdOzLFFZCxtL3q1",0,0.944,0.351,183240,0.23,0.746,"F",0.424,-15.64,"Major",0.0398,140.847,"3/4",0.112
"38","Reggaeton","Reykon","Adicción","5A52oZ3J9zmifGd2h8mUdO",29,0.383,0.766,184243,0.655,0,"C",0.673,-6.878,"Major",0.117,98.021,"4/4",0.709
"39","World","Bethel Music","Mighty Sound (Spontaneous)","6jH8Swjc3mryJlnGwPlGPm",48,0.0368,0.217,553776,0.448,1.16e-05,"F",0.085,-10.061,"Major",0.0322,121.982,"4/4",0.0626
"40","Blues","KONGOS","Take It From Me","1oxPrSHvcFiX9cqiQXCIHE",50,0.0555,0.555,190771,0.74,7.08e-06,"B",0.306,-7.016,"Minor",0.175,172.915,"4/4",0.761
"41","Hip-Hop","Death Grips","Death Grips Is Online","4EHv5m2D0zDYYAu4xZoYwm",52,0.00388,0.522,211662,0.962,0.0528,"F#",0.406,-4.814,"Major",0.0765,146.392,"4/4",0.415
"42","Rap","Drake","Wu-Tang Forever","6KziiQUOoCmC7Kc7Rv4jar",58,0.0474,0.832,217680,0.427,0,"G#",0.101,-8.516,"Minor",0.257,99.935,"4/4",0.369
"43","World","Rita Springer","Every Battle","6Cckhjpjr7Kl9cAK5m12Dv",23,0.0254,0.395,313548,0.642,0,"F",0.0984,-6.347,"Major",0.0375,180.046,"3/4",0.177
"44","Soul","Jon B.","Are U Still Down?","0ndVtaoJarSoK9SBCRkaJt",53,0.0131,0.725,266760,0.557,7.79e-06,"E",0.218,-7.697,"Minor",0.0559,91.064,"4/4",0.404
"45","Ska","Catch 22","Opportunity","4X1UXNW0mqtusNsWNSZwrH",19,0.00417,0.558,200853,0.676,0,"A#",0.311,-7.001,"Major",0.0675,149.938,"4/4",0.912
"46","Alternative","Passion","Lord, I Need You - Live","0xGXCPSjxkHxElgi7kC5SZ",45,0.545,0.18,274814,0.432,0,"B",0.965,-8.922,"Major",0.0387,68.329,"4/4",0.159
"47","Folk","Gregory Alan Isakov","shining offa you","3ay0LQ532E2Akqoiehx4AA",41,0.724,0.463,222133,0.269,8.51e-05,"C",0.0982,-13.628,"Major",0.0289,100.162,"4/4",0.19
"48","Children’s Music","Atreyu","Blow","17DmJXyncq1Wg2s6tGMQyf",50,0.0045,0.523,249440,0.98,9.22e-06,"F",0.188,-3.615,"Minor",0.147,154.979,"4/4",0.33
"49","Reggae","Stick Figure","All My Love","3ik1fFvzdgmVuiob8t8NlG",46,0.362,0.834,254680,0.677,0.181,"E",0.102,-6.444,"Minor",0.0389,129.988,"4/4",0.732
"50","Jazz","Johnny Rivera","Por Eso Está Conmigo","2gB1aIidmaeWBapZuqr4xg",38,0.729,0.696,280267,0.72,1.4e-06,"G",0.106,-10.131,"Minor",0.0363,167.863,"4/4",0.952
"51","Reggae","Iya Terra","Bless Up (feat. Karim Israel & Kennedy Peneueta-PeaPea)","065p9jeywF3hRiZrUJuHb1",41,0.0299,0.66,293354,0.778,0,"C",0.16,-6.2,"Minor",0.0566,152.104,"4/4",0.796
"52","Reggaeton","Wisin","Escápate Conmigo (feat. Ozuna)","1KSqYYJFyfTecXFk9M0prc",80,0.0256,0.744,232787,0.859,6.27e-05,"B",0.0881,-3.166,"Major",0.0795,91.977,"4/4",0.787
"53","Ska","Jimmy Cliff","Hard Road To Travel","5ObfITffAO9V5Gl1TEpz8H",26,0.168,0.784,157773,0.385,0,"C",0.193,-15.771,"Major",0.155,169.179,"4/4",0.915
"54","World","Gipsy Kings","Bem, Bem, Maria","3dvHSqDw3ZFBpNeCpYYc5W",40,0.663,0.682,183760,0.892,0.0137,"F",0.111,-9.38,"Minor",0.0706,117.726,"4/4",0.918
"55","Soul","Anthony Hamilton","Comin' From Where I'm From - Remix","6MStcXgiViwVTYDPfwWQIb",33,0.0548,0.609,276467,0.79,0,"F#",0.184,-7.504,"Minor",0.418,160.211,"4/4",0.61
"56","Alternative","Arlo Parks","Cola","0i6c86ntKJoZpKk8aCHL3c",51,0.198,0.814,229685,0.742,9.83e-05,"E",0.0899,-10.52,"Minor",0.24,75.451,"4/4",0.587
"57","Hip-Hop","Run The Jewels","Everybody Stay Calm","12WK5KN0us12ElkOUTmI1o",47,0.321,0.803,178627,0.671,2.51e-05,"D",0.223,-7.959,"Major",0.251,108.992,"4/4",0.376
"58","Reggaeton","Baby Rasta & Gringo","Mañana Sin Ti","3FmR8WA7kwwyuiK2gmlgi5",39,0.413,0.704,267881,0.411,0,"C",0.132,-9.817,"Major",0.0536,61.991,"4/4",0.435
"59","Indie","Ziggy Alberts","Gone (The Pocahontas Song)","6m8mbyoMIs5Tg8HNfStrjQ",62,0.828,0.688,218500,0.503,1.28e-06,"C#",0.088,-10.356,"Minor",0.046,124.903,"4/4",0.458
"60","Electronic","Tisoki","Time Travel","6ThIqA5MPO2lyWII2uwLT7",29,0.00663,0.63,152000,0.994,0.0261,"C#",0.337,-0.694,"Minor",0.0658,149.996,"4/4",0.668
"61","Movie","Randy Newman","A Nice Ride","2phSnfPV4HgdnLMnbxpr1Y",10,0.846,0.148,196307,0.131,0.776,"F",0.125,-15.707,"Major",0.0408,70.048,"4/4",0.0391
"62","Classical","Johann Sebastian Bach","French Suite No. 5 in G Major, BWV 816: I. Allemande","5w7zbR1ZV0Ee7tNFgVROwz",30,0.988,0.0787,160600,0.0126,0.908,"D",0.112,-36.457,"Major",0.0448,34.856,"3/4",0.267
"63","Jazz","Buena Vista Social Club","Bruca Manigua - Live","5bAxCsh4epqYFfAbVx1JHV",39,0.719,0.509,315524,0.73,3.23e-05,"A#",0.751,-7.398,"Major",0.053,124.724,"4/4",0.84
"64","Rock","The Struts","Primadonna Like Me","3YFaqvSgFBxiJA2xrc70yq",53,3.59e-05,0.53,203705,0.949,0.522,"B",0.378,-2.699,"Major",0.0459,137.011,"4/4",0.836
"65","Folk","Yoke Lore","Fake You","2ZjdNFPXtVdIMJeDBJBHj8",57,0.195,0.585,223171,0.606,0.135,"F#",0.107,-8.885,"Major",0.059,163.939,"4/4",0.258
"66","Dance","DNCE","Man On Fire","6KQfzEKHbqNcOSEMAPlpkE",54,0.00817,0.66,187373,0.711,0,"C#",0.0926,-4.582,"Minor",0.0525,87.958,"4/4",0.789
"67","Anime","SEKAI NO OWARI","sasanqua","6OGT5jfepTz6ji1BjsjQTb",22,0.329,0.531,270654,0.283,5.99e-06,"F",0.253,-8.058,"Major",0.0312,75.006,"4/4",0.313
"68","Soul","Hiatus Kaiyote","By Fire","5g2J8zkYoREF1NOJuCuXGc",45,0.0107,0.503,303880,0.503,0.073,"G#",0.284,-8.583,"Major",0.0484,127.831,"5/4",0.473
"69","Electronic","The Bloody Beetroots","Future Memories (feat. Crywolf)","7s9748usLW6e0I3CepU3Cl",35,0.0182,0.196,247448,0.738,0.31,"F",0.0749,-4.761,"Major",0.0394,144.336,"4/4",0.0588
"70","Reggaeton","Tego Calderon","Pegaito a la Pared - Reggaeton Mix","1JZBQk4s2jNRjflLciIpfy",29,0.121,0.83,236080,0.515,0.000748,"A#",0.0926,-6.735,"Major",0.421,81.066,"4/4",0.396
"71","Country","Peter Frampton","While My Guitar Gently Weeps","3AecLVrPzZwaQwfWSJQFWW",55,0.0414,0.421,414747,0.728,0.013,"G",0.271,-5.553,"Major",0.0383,113.125,"4/4",0.311
"72","Reggae","Capleton","Jah Jah City","2Ak3E6EIm3Ivpn2PZ4ME5l",38,0.084,0.608,213627,0.594,0,"A#",0.188,-9.158,"Minor",0.516,137.145,"4/4",0.872
"73","R&B","The Japanese House","Maybe You're the Reason","7xKjdvYaJ1tvwNXRTAZs78",60,0.106,0.621,218936,0.762,2.71e-06,"F",0.302,-6.376,"Major",0.0328,95.014,"4/4",0.395
"74","Alternative","Slick Rick","La-Di-Da-Di","0WYu233HGAjMAu9UK5iHtS",41,0.708,0.641,276560,0.968,0,"F#",0.98,-6.977,"Minor",0.462,90.656,"4/4",0.589
"75","Blues","Bonnie Raitt","You","6mG1WZbhkUsTSJRhdfYP78",33,0.583,0.469,339467,0.574,0.000533,"E",0.964,-7.418,"Major",0.0286,98.685,"4/4",0.394
"76","R&B","Charlie Burg","Letter From Last Summer","7kdyJuZOFEaqc2cmxyARoq",45,0.877,0.445,156310,0.1,0.000489,"D#",0.121,-18.499,"Major",0.0664,145.016,"3/4",0.183
"77","Blues","Carlos Santana","Tales of Kilimanjaro","2V3KqsXKUuhzlfFygycCOu",25,0.0616,0.493,290467,0.495,0.829,"A",0.117,-18.058,"Minor",0.0336,109.374,"4/4",0.689
"78","World","Casting Crowns","East To West","1wV6lCsV2PCeVZlyGTkVPt",57,0.165,0.46,266107,0.511,0,"F#",0.122,-6.125,"Minor",0.0274,72.934,"4/4",0.324
"79","Electronic","Big Gigantic","Stronger","4U610tMMVnQAWFao8cGxCa",26,0.161,0.488,336808,0.958,0.000264,"G",0.855,-2.887,"Minor",0.0678,98.032,"4/4",0.0782
"80","Alternative","Hinder","What Ya Gonna Do","1avq1yCUk8SCKs4qD0VcXJ",42,0.0087,0.373,246907,0.742,0,"D",0.244,-4.327,"Major",0.0319,150.983,"4/4",0.448
"81","Comedy","Richard Pryor","Bicentennial Prayer - Remastered Version","5VGcAHz0TKbFRxxHi7iroK",18,0.857,0.457,401507,0.568,0,"C#",0.784,-12.259,"Major",0.906,81.751,"3/4",0.231
"82","Alternative","Kali Uchis","Nuestro Planeta (feat. Reykon)","12TOa8pzhbLTWh1vxIsPMp",56,0.0927,0.871,202755,0.55,0.000742,"C",0.0788,-6.113,"Minor",0.0613,96.018,"4/4",0.448
"83","Jazz","Tower Of Power","You're Still a Young Man","0LDauNxnqI5nsyCa2Xsc5W",40,0.234,0.447,337040,0.449,0,"D#",0.229,-9.206,"Major",0.0333,114.36,"3/4",0.527
"84","Soundtrack","Ben Salisbury","Sheppard","4kpUsBfquW2AXd2rN6IOkq",26,0.952,0.153,165393,0.0425,0.701,"D#",0.112,-27.496,"Major",0.0382,67.508,"4/4",0.0275
"85","Movie","Alan Menken","Beauty and the Beast: No Matter What","2GOiFj8leBLwl1DJD86HTR",3,0.985,0.347,199933,0.24,0.851,"D#",0.0894,-12.479,"Major",0.0587,69.3,"4/4",0.141
"86","Country","Reba McEntire","I Keep On Lovin' You","3e4ZaMM2t6Pv25W05KfZTP",42,0.353,0.538,193893,0.461,0,"A#",0.118,-5.676,"Major",0.0279,127.107,"4/4",0.299
"87","Soundtrack","Harold Faltermeyer","Top Gun Anthem","00Y9r5SfbDdEjJhNg7laQr",53,0.00799,0.423,252200,0.651,0.618,"C",0.31,-8.741,"Major",0.0406,107.011,"4/4",0.14
"88","Anime","RADWIMPS","Tummy","36yXN2yMssgIz5VbxTrVu7",28,0.0998,0.641,287240,0.5,0,"D",0.0255,-5.77,"Major",0.0921,79.927,"4/4",0.798
"89","Rock","Radiohead","Creep","6b2oQwSGFkzsMtQruIWm2p",82,0.0102,0.515,238640,0.43,0.000141,"G",0.129,-9.935,"Major",0.0369,91.841,"4/4",0.104
"90","World","Desert Dwellers","Peaceful Air","5URCeMfHDbcuxKsHqLhsH7",25,0.47,0.533,444000,0.343,0.921,"C",0.245,-13.936,"Major",0.0392,160.036,"4/4",0.179
"91","Classical","Frédéric Chopin","Andantino in G Minor, B. 117 ""Wiosna""","3zzttInImJnxLonG12oeA3",24,0.994,0.349,53800,0.00281,0.955,"G",0.0716,-43.407,"Minor",0.0583,75.396,"4/4",0.242
"92","Soundtrack","Hans Zimmer","Homecoming","2GPlEILJTsH86Z7PWrs4Vl",29,0.926,0.0622,291227,0.0546,0.884,"F",0.0962,-22.789,"Minor",0.0499,61.896,"4/4",0.0333
"93","Electronic","JOYRYDE","IM GONE","1SYNgyiVRZEBhV0P4YFBk8",55,0.00961,0.664,285860,0.953,0.00665,"A",0.263,-3.794,"Major",0.249,125.679,"4/4",0.21
"94","Anime","Shiro Sagisu","Black Angels (Fob_10_1211)","33WMW5fsjYSmnYoOUbixHU",19,0.647,0.556,161784,0.528,0.75,"A#",0.1,-10.161,"Minor",0.0367,110.048,"3/4",0.192
"95","Indie","Chelsea Cutler","Out of Focus","3m9eTtBtU0xxJndQRz9MOr",60,0.146,0.526,189578,0.412,0,"A",0.105,-9.722,"Major",0.0449,165.87,"4/4",0.265
"96","Anime","BACK-ON","ROCKSTAR ANTHEM","768pxxheFFtrxyQR5MlDkx",22,0.00117,0.567,237467,0.947,0,"F#",0.374,-3.109,"Minor",0.0705,100.092,"4/4",0.68
"97","Soul","Elder Island","Kape Fear","6VWAojRGH8WyMQxEBuUPB5",46,0.217,0.743,251494,0.602,0.652,"G#",0.348,-9.536,"Minor",0.0392,108.027,"4/4",0.283
"98","Comedy","Kevin Nealon","The Contact Lens Experience","3gbslY9voguEt1JTTxUH2h",14,0.877,0.593,110362,0.337,0,"G#",0.728,-22.37,"Major",0.944,66.888,"4/4",0.764
"99","Folk","The Beach Boys","Do It Again - Remastered 2001","0vhCcrN8ULryq1KuEEYlm2",46,0.609,0.725,146373,0.577,0.00112,"D#",0.242,-6.487,"Major",0.0336,117.691,"4/4",0.826
"100","World","Tenth Avenue North","Love Is Here","26XGTmA0kbHdSRyD7l7Y5Q",41,0.00169,0.371,243347,0.712,0,"B",0.346,-5.355,"Major",0.0325,146.202,"4/4",0.3
"101","Comedy","Jay Mohr","Woman Are Just Better Murderers","7dgyQKDOlIGSYOclKsMxqc",10,0.832,0.497,302594,0.489,0,"E",0.937,-17.483,"Major",0.953,174.803,"4/4",0.43
"102","Children’s Music","The Neighbourhood","warm","3XdkoHjalwE7BYtR7nvdPm",52,0.717,0.324,357067,0.476,0.0591,"F#",0.0835,-8.577,"Minor",0.0418,142.097,"3/4",0.104
"103","Movie","Joe York","Dear Heart","0vWxGTgMmARc1KCzO5LHZF",17,0.912,0.281,227067,0.154,0.129,"C#",0.121,-17.122,"Major",0.0384,83.898,"4/4",0.143
"104","Anime","Capcom Sound Team","THE THEME OF SPADA - DEVIL SUNDAY(スパーダのテーマ)","3S8oZXtl38htTQ9vE8uZl3",11,0.619,0.258,42333,0.385,0.423,"G",0.397,-12.943,"Minor",0.0356,64.646,"4/4",0.187
"105","Pop","Sech","Qué Más Pues","5O3cRP4ZHC9vvVIHtET1f0",72,0.065,0.563,203667,0.565,0.000169,"G#",0.0855,-5.514,"Minor",0.376,169.841,"4/4",0.818
"106","Rock","John Lennon","Woman","0GGxVTb0UwDwdaKNjBdCn3",72,0.378,0.588,212933,0.656,0.00227,"D#",0.042,-6.373,"Major",0.0224,79.701,"4/4",0.746
"107","Children’s Music","Cass McCombs","Bum Bum Bum","5Ob2Wt2IifgoFrSFrBnRZJ",62,0.74,0.509,299671,0.508,0.305,"A",0.0979,-11.33,"Minor",0.0319,79.923,"4/4",0.366
"108","Jazz","Maxine Sullivan","Enjoy Yourself (It's Later Than You Think)","56TNJMULBJchNWfsrXS4Dw",39,0.94,0.583,198668,0.397,0.0473,"D#",0.0915,-13.473,"Major",0.0572,175.243,"4/4",0.903
"109","Children’s Music","Atmosphere","The Loser Wins","1leIsMj7tLnqmy1695wxiP",46,0.0493,0.695,216187,0.578,0.000136,"D",0.257,-5.567,"Major",0.133,94.961,"4/4",0.476
"110","Reggae","Chris Boomer","Stereotype Lion Rhythms","5Isl7bUg8ExNFQ0JQSDrc7",10,0.0107,0.66,210625,0.772,0,"F#",0.0765,-6.041,"Minor",0.0611,140.021,"4/4",0.743
"111","Comedy","Jim Gaffigan","Opening","70YKCASGznx38mYEHCxfvx",33,0.879,0.353,165133,0.932,4.42e-06,"A#",0.737,-17.596,"Minor",0.889,83.969,"5/4",0.0751
"112","Reggaeton","Jamsha","El Chupa Cabras y el Chupa Cricas","4tz1iYdwUJteEZdKWc7Tt8",35,0.0286,0.85,213818,0.757,0.000538,"G#",0.0423,-6.047,"Major",0.0907,110.012,"4/4",0.644
"113","Soundtrack","Justin Hurwitz","Summer Montage / Madeline","5wcc4zevA3JG13IJFd3vE8",29,0.138,0.607,124400,0.453,0.883,"G#",0.357,-8.199,"Major",0.0301,107.829,"4/4",0.648
"114","Comedy","Myq Kaplan","Highs and Lose","6g2xVi1YnopEhgxWLdQupp",22,0.895,0.559,183013,0.815,0,"F#",0.833,-6.267,"Major",0.936,82.289,"4/4",0.592
"115","Soul","88GLAM","Marina","6WMiQomDRNUVnWbS85pt9n",47,0.44,0.589,171940,0.594,0,"A",0.107,-7.462,"Minor",0.0559,133.85,"4/4",0.379
"116","Opera","Gaetano Donizetti","Don Pasquale: Act I: Quel guardo il cavaliere","4XxDzK2GNlxYCz4MU9ngwz",9,0.964,0.415,128067,0.0238,3.27e-05,"G",0.733,-24.2,"Major",0.0438,106.532,"4/4",0.0928
"117","Pop","Thalía","Lindo Pero Bruto","5RLBZePs33aN2F8uCzcSeo",73,0.204,0.708,177347,0.78,0,"E",0.17,-4.403,"Minor",0.189,169.705,"4/4",0.601
"118","R&B","Demi Lovato","Cry Baby","0daqrrLjI0BBLBRuEGtauc",60,0.661,0.43,222747,0.655,0,"G",0.0743,-4.543,"Minor",0.0381,53.254,"4/4",0.12
"119","Anime","Altima","One","4W25lcqPMIIFtgXsJ8javG",24,0.224,0.598,308347,0.994,6.69e-05,"F",0.178,-3.596,"Minor",0.118,132.026,"4/4",0.584
"120","Rock","Pepper","Ashes","5vSH05fXsfYtltxV4ujRkc",54,0.00944,0.819,181533,0.528,1.54e-05,"C",0.269,-6.387,"Major",0.0322,77.03,"4/4",0.853
"121","Electronic","SVDDEN DEATH","Caught In A Mosh","28wC2DrVQkCyvZ1vJByO2t",32,0.0151,0.728,248276,0.902,0.00144,"C#",0.361,-0.643,"Major",0.197,145.043,"4/4",0.22
"122","Reggaeton","Wisin & Yandel","Sexy Movimiento","1Kgyx7NLtzsa3gWV1efGHu",69,0.358,0.812,209680,0.767,1.13e-05,"A#",0.142,-6.233,"Minor",0.0399,104.99,"4/4",0.766
"123","Hip-Hop","Usher","U Don't Have to Call","5PCJldueshnwqQVjS16543",59,0.0478,0.793,269400,0.568,3.57e-05,"C#",0.0304,-4.958,"Major",0.0459,100.005,"4/4",0.806
"124","Indie","alt-J","Adeline (feat. Paigey Cakey and Hex) - ADP Version","2X4ma98xpO5L05mOk1Xv3q",45,0.286,0.714,226707,0.701,0.000194,"D",0.107,-6.942,"Major",0.0343,141.995,"4/4",0.486
"125","Opera","Giuseppe Verdi","Rigoletto, Act IV: V'ho ingannato, colpevole fui","0FS7EdbRY8Ag4qCUtjedyT",18,0.969,0.386,79960,0.0615,0.00316,"A",0.114,-25.801,"Major",0.0398,89.121,"4/4",0.127
"126","Rock","Of Monsters and Men","Crystals","5wU6jk9kxYzFGUpeE6T2Q5",64,0.00208,0.581,243520,0.75,0.000442,"C",0.109,-7.211,"Major",0.0304,132.195,"4/4",0.325
"127","Ska","Masked Intruder","I'll Be Back Again Someday","16IXLcdAH0V1hOgV9JC20D",35,0.000181,0.393,175699,0.915,3.99e-06,"D",0.115,-4.625,"Major",0.0829,175.967,"4/4",0.434
"128","Anime","Eve","闇夜","6aW8fq5lGlhoZxhLyC7JuL",52,0.17,0.444,229394,0.637,0,"B",0.112,-3.73,"Minor",0.0361,79.821,"4/4",0.23
"129","Electronic","Vigiland","Shots & Squats - SoMo Vocal Mix","40l5cmtb4BpqwNxwrQZkt8",42,0.00857,0.786,172528,0.847,0.000998,"F",0.166,-5.563,"Minor",0.131,128.009,"4/4",0.276
"130","Indie","Unknown Mortal Orchestra","Can’t Keep Checking My Phone","0x38UMMhYacciPRK7ETk1M",54,0.0532,0.706,256067,0.958,0.00495,"C#",0.249,-2.839,"Major",0.0539,114.73,"4/4",0.88
"131","Pop","Travis Porter","Ayy Ladies","4P6BuLsqtg5uISdE77ypI9",63,0.096,0.905,211293,0.782,0,"A#",0.0623,-3.604,"Minor",0.164,96.055,"4/4",0.798
